author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Леся Українка (Lesya Ukrainka)	«Давня казка», «Contra spem spero!», «Лісова пісня» (An Old Tale; Contra Spem Spero!; The Forest Song)	1871	1913	domestic	play	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate; poetry memorization is recommendatory
Микола Вороний (Mykola Voronyi)	«Блакитна Панна» (The Blue Lady)	1871	1938	domestic	poem	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Modernist poetry
Іван Багряний (Ivan Bahrianyi)	«Тигролови» (The Tiger Catchers)	1906	1963	domestic	novel	totalitarianism	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Stalinist repressions and Ukrainian GULAG escape novel
Василь Симоненко (Vasyl Symonenko)	«Ти знаєш, що ти — людина?», «Задивляюсь у твої зіниці…», «Лебеді материнства» (Do You Know That You Are Human?; I Look Into Your Pupils; Swans of Motherhood)	1935	1963	domestic	poem-cycle	Soviet-1960s/none	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate; poetry memorization is recommendatory
Василь Стус (Vasyl Stus)	«Господи, гніву пречистого…» (Lord, Pure Wrath...)	1938	1985	domestic	poem	totalitarianism	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate in the defining Grade 9 program
Євген Маланюк (Yevhen Malanyuk)	«Уривок з поеми» (Excerpt from a Poem)	1897	1968	domestic	poem	1917-revolution	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Prague School diaspora poetry
Ервін Умеров (Ervin Umerov)	«Чорні ешелони» (Black Echelons)	1938	2007	domestic	novella	1944-Crimean-Tatar-deportation	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Crimean Tatar 1944 deportation novel in Ukrainian literature syllabus
Сучасна воєнна поезія (Modern War Poetry)	Поезії з розділу «Поезія Вільних» (Борис Гуменюк, Олекса Бик) (Poetry of the Free: Borys Humenyuk, Oleksa Byk)	living	living	domestic	poem-cycle	Russo-Ukrainian-war-since-2014	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Russo-Ukrainian war contemporary poetry unit
Джонатан Свіфт (Jonathan Swift)	«Мандри Лемюеля Гуллівера» (частина 1) (Gulliver's Travels, Part 1: A Voyage to Lilliput)	1667	1745	translated:English (doc-marked)	novel	Enlightenment	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Enlightenment satire
Йоганн Вольфганг фон Ґете (Johann Wolfgang von Goethe)	«Травнева пісня», «Прометей», «Вільшаний цар» (May Song; Prometheus; Erlkönig)	1749	1832	translated:German (doc-marked)	poem-cycle	none/Greek-myth/legendary-past	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Sturm und Drang and Weimar Classicism
Фрідріх Шиллер (Friedrich Schiller)	«До радості» (An die Freude)	1759	1805	translated:German (doc-marked)	poem	Enlightenment	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Ode to Joy
Генріх Гейне (Heinrich Heine)	«Книга пісень» («На півночі кедр одинокий…», «Не знаю, що стало зо мною…», «Коли розлучаються двоє…») (Book of Songs: A pine-tree stands alone in the north; I do not know what it means; When two people part)	1797	1856	translated:German (doc-marked)	poem-cycle	none/romance?	mandatory	yes	9	https://osvita.ua/doc/files/news/901/90119/Zarubizhna_literatura_7-9_kl_Voloshchuk_.pdf	2023	2026-08-10	Recitation mandated in Voloshchuk Grade 9 memorization list
Джордж Ноел Гордон Байрон (George Gordon Byron)	«Хотів би жити знов у горах…», «Мій дух як ніч…», «Паломництво Чайльд Гарольда», «Мазепа» (I would I were a careless child; My soul is dark; Childe Harold's Pilgrimage; Mazeppa)	1788	1824	translated:English (doc-marked)	poem-cycle	none/Napoleonic-Europe/Cossack-era	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Byronic hero and Ukrainian theme in Mazeppa
Данте Аліг'єрі (Dante Alighieri)	Сонет «В своїх очах вона несе Кохання…» (Sonnet: In her eyes she carries love)	1265	1321	translated:Italian (doc-marked)	poem	none/romance	mandatory	yes	9	https://osvita.ua/doc/files/news/901/90119/Zarubizhna_literatura_7-9_kl_Voloshchuk_.pdf	2023	2026-08-10	Recitation mandated in Voloshchuk Grade 9 memorization list
Франческо Петрарка (Francesco Petrarca)	Сонет 61 або 132 (за вибором) (Sonnet 61 or 132 by choice)	1304	1374	translated:Italian (doc-marked)	poem	none/romance	choice-list	yes	9	https://osvita.ua/doc/files/news/901/90119/Zarubizhna_literatura_7-9_kl_Voloshchuk_.pdf	2023	2026-08-10	Recitation mandated in Voloshchuk Grade 9 memorization list
Вільям Шекспір (William Shakespeare)	Сонет 116 або 130 (за вибором) (Sonnet 116 or 130 by choice)	1564	1616	translated:English (doc-marked)	poem	none/romance?	choice-list	yes	9	https://osvita.ua/doc/files/news/901/90119/Zarubizhna_literatura_7-9_kl_Voloshchuk_.pdf	2023	2026-08-10	Recitation mandated in Voloshchuk Grade 9 memorization list
Міхай Емінеску (Mihai Eminescu)	«Буковині» (To Bukovina)	1850	1889	translated:Romanian (doc-marked)	poem	none/romance?	mandatory	yes	9	https://osvita.ua/doc/files/news/901/90119/Zarubizhna_literatura_7-9_kl_Voloshchuk_.pdf	2023	2026-08-10	Recitation mandated in Voloshchuk Grade 9 memorization list
Оноре де Бальзак (Honoré de Balzac)	«Гобсек» (Gobseck)	1799	1850	translated:French (doc-marked)	novella	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Realism and money theme
Микола Васильович Гоголь (Nikolai Gogol)	«Ревізор» АБО «Шинель» (за вибором) (The Government Inspector OR The Overcoat by choice)	1809	1852	translated:Russian (doc-marked)	play	19th-c-Russian-Empire/bureaucracy-urban-poverty	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Retained Russian-language work due to author's Ukrainian origin
Гарпер Лі (Harper Lee)	«Убити пересмішника» (To Kill a Mockingbird)	1926	2016	translated:English (doc-marked)	novel	1930s-Jim-Crow	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	US Southern racism and justice novel
Барбара Космовська (Barbara Kosmowska)	«Позолочена рибка» (Goldfish)	1958	living	translated:Polish (doc-marked)	novel	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Contemporary YA prose
Генрік Ібсен (Henrik Ibsen)	«Ляльковий дім» (A Doll's House)	1828	1906	translated:Norwegian (doc-marked)	play	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	New Drama pioneer
Бернард Шоу (Bernard Shaw)	«Пігмаліон» (Pygmalion)	1856	1950	translated:English (doc-marked)	play	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Intellectual drama and myth adaptation
Моріс Метерлінк (Maurice Maeterlinck)	«Синій птах» (The Blue Bird)	1862	1942	translated:French (doc-marked)	play	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Symbolist drama-fairy tale
Шолом-Алейхем (Sholem Aleichem)	«Тев'є-молочар» (Tevye the Dairyman)	1859	1916	translated:Yiddish (doc-marked)	novel	late-Russian-Empire/pogroms-Jewish-displacement	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Jewish-Ukrainian historical experience
Михайло Булгаков (Mikhail Bulgakov)	«Собаче серце» (Heart of a Dog)	1891	1940	translated:Russian (doc-marked)	novella	1917-revolution	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Retained Russian-language work due to author's Kyivan birth and anti-totalitarian satire
Рей Бредбері (Ray Bradbury)	«451° за Фаренгейтом» (Fahrenheit 451)	1920	2012	translated:English (doc-marked)	novel	totalitarianism	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Dystopian anti-totalitarian novel
Маркус Зузак (Markus Zusak)	«Крадійка книжок» (The Book Thief)	1975	living	translated:English (doc-marked)	novel	WWII-occupation	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	WWII Holocaust/Nazi Germany perspective
Джонатан Сафран Фоер (Jonathan Safran Foer)	«Страшенно голосно і неймовірно близько» (Extremely Loud & Incredibly Close)	1977	living	translated:English (doc-marked)	novel	9/11	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Post-9/11 tragedy novel
Айзек Азімов (Isaac Asimov)	«Я – робот» (I, Robot)	1920	1992	translated:English (doc-marked)	short-story	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Science fiction choice list
Рюноске Акутаґава (Ryūnosuke Akutagawa)	«Ніс», «Свято хризантем» (1 за вибором) (The Nose; The Chrysanthemum Vow by choice)	1892	1927	translated:Japanese (doc-marked)	short-story	premodern-Japan	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Japanese modernist short story choice
Шарлотта Бронте (Charlotte Brontë)	«Джейн Ейр» (Jane Eyre)	1816	1855	translated:English (doc-marked)	novel	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Victorian romance choice list
Вільям Ґолдінґ (William Golding)	«Володар мух» (Lord of the Flies)	1911	1993	translated:English (doc-marked)	novel	post-WWII?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Post-WWII allegory choice list
Віктор Гюго (Victor Hugo)	«Собор Паризької Богоматері» (The Hunchback of Notre-Dame)	1802	1885	translated:French (doc-marked)	novel	late-medieval-Paris	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	French romantic novel choice list
Артур Кларк (Arthur C. Clarke)	«Кінець дитинства» (Childhood's End)	1917	2008	translated:English (doc-marked)	novel	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Sci-fi choice list
Джозеф Конрад (Joseph Conrad)	«Серце темряви» (Heart of Darkness)	1857	1924	translated:English (doc-marked)	novella	Congo-Free-State-colonialism	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Colonial critique choice list (Conrad born in Berdychiv, Ukraine)
Проспер Меріме (Prosper Mérimée)	«Кармен» (Carmen)	1803	1870	translated:French (doc-marked)	novella	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	French romantic novella choice list
Едґар Аллан По (Edgar Allan Poe)	«Ельдорадо» та ін. (Eldorado and Other Poems)	1809	1849	translated:English (doc-marked)	poem-cycle	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	American Romantic poetry choice list
Еріх Марія Ремарк (Erich Maria Remarque)	«Три товариші» (Three Comrades)	1898	1970	translated:German (doc-marked)	novel	post-WWI/Weimar-Great-Depression	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Interwar lost generation novel choice list
Джером Девід Селінджер (J. D. Salinger)	«Над прірвою у житі» (The Catcher in the Rye)	1919	2010	translated:English (doc-marked)	novel	post-WWII?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	American post-war coming-of-age novel choice list
Генрик Сенкевич (Henryk Sienkiewicz)	«Камо грядеші?» (Quo Vadis)	1846	1916	translated:Polish (doc-marked)	novel	antiquity?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Ancient Rome historical novel choice list
Колсон Вайтхед (Colson Whitehead)	«Підземна залізниця» (The Underground Railroad)	1969	living	translated:English (doc-marked)	novel	US-slavery	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Slavery historical novel choice list
Марк Геддон (Mark Haddon)	«Загадковий нічний інцидент із собакою» (The Curious Incident of the Dog in the Night-Time)	1962	living	translated:English (doc-marked)	novel	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Modern British YA fiction choice list
Лоран Гунель (Laurent Gounelle)	«Бог завжди подорожує інкогніто» (God Always Travels Incognito)	1966	living	translated:French (doc-marked)	novel	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Modern French fiction choice list
Майкл Морпурго (Michael Morpurgo)	«Бойовий кінь» (War Horse)	1943	living	translated:English (doc-marked)	novel	WWI	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	WWI British novel choice list
Джоан Ролінґ (J. K. Rowling)	«Гаррі Поттер і орден Фенікса» (Harry Potter and the Order of the Phoenix)	1965	living	translated:English (doc-marked)	novel	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Modern British fantasy choice list
Ерік-Емманюель Шмітт (Éric-Emmanuel Schmitt)	«Оскар і Рожева Пані» (Oscar and the Lady in Pink)	1960	living	translated:French (doc-marked)	novella	none/romance?	choice-list	no	9	https://osvita.ua/doc/files/news/830/83093/Zarubizhna_literatura_5-9kl_Nikolenko_ta_.pdf	2022	2026-08-10	Contemporary French novella choice list
